state,district,subdistrict,village,latitude,longitude,geometry
Arunachal Pradesh,Tawang,Tawang Sub-Division,Kalaigaon Ward-8,27.474,91.8364,POINT(91.8364 27.474)
Arunachal Pradesh,West Kameng,West Kameng Sub-Division,Lumla Ward-9,27.3027,92.5161,POINT(92.5161 27.3027)
Arunachal Pradesh,Papum Pare,Papum Pare Sub-Division,Serchhip Ward-10,27.1926,93.4927,POINT(93.4927 27.1926)
Arunachal Pradesh,East Siang,East Siang Sub-Division,Singtam Ward-11,27.9989,95.3134,POINT(95.3134 27.9989)
Arunachal Pradesh,Lower Subansiri,Lower Subansiri Sub-Division,Chaygaon Ward-12,27.5763,93.9145,POINT(93.9145 27.5763)
Assam,Kamrup Metropolitan,Kamrup Metropolitan Sub-Division,Dirang Ward-13,26.1709,91.8137,POINT(91.8137 26.1709)
Assam,Kamrup Rural,Kamrup Rural Sub-Division,Chumukedima Ward-14,26.2689,91.6477,POINT(91.6477 26.2689)
Assam,Darrang,Darrang Sub-Division,Singtam Ward-15,26.4253,91.9959,POINT(91.9959 26.4253)
Assam,Sonitpur,Sonitpur Sub-Division,Tenga Ward-16,26.5355,92.7635,POINT(92.7635 26.5355)
Assam,Dibrugarh,Dibrugarh Sub-Division,Rupa Ward-17,27.3344,95.0289,POINT(95.0289 27.3344)
Assam,Cachar,Cachar Sub-Division,Mairang Ward-18,24.8259,92.7095,POINT(92.7095 24.8259)
Assam,Nagaon,Nagaon Sub-Division,Bishalgarh Ward-19,26.2861,92.6181,POINT(92.6181 26.2861)
Meghalaya,East Khasi Hills,East Khasi Hills Sub-Division,Dirang Ward-20,25.7205,91.8117,POINT(91.8117 25.7205)
Meghalaya,West Khasi Hills,West Khasi Hills Sub-Division,Tenga Ward-21,25.6077,91.1908,POINT(91.1908 25.6077)
Meghalaya,Ri-Bhoi,Ri-Bhoi Sub-Division,Nongpoh Ward-22,25.8825,92.004,POINT(92.004 25.8825)
Meghalaya,West Jaintia Hills,West Jaintia Hills Sub-Division,Ambassa Ward-23,25.5602,92.2963,POINT(92.2963 25.5602)
Sikkim,East Sikkim,East Sikkim Sub-Division,Hnahthial Ward-24,27.4018,88.5775,POINT(88.5775 27.4018)
Sikkim,North Sikkim,North Sikkim Sub-Division,Kalaigaon Ward-25,27.3587,88.4578,POINT(88.4578 27.3587)
Sikkim,South Sikkim,South Sikkim Sub-Division,Tseminyu Ward-1,27.0299,88.2152,POINT(88.2152 27.0299)
Nagaland,Kohima,Kohima Sub-Division,Cherrapunji Ward-2,25.7722,94.1101,POINT(94.1101 25.7722)
Nagaland,Dimapur,Dimapur Sub-Division,Teliamura Ward-3,25.8294,93.7241,POINT(93.7241 25.8294)
Nagaland,Mokokchung,Mokokchung Sub-Division,Rangia Ward-4,26.3511,94.4749,POINT(94.4749 26.3511)
Manipur,Imphal West,Imphal West Sub-Division,Tseminyu Ward-5,24.9163,93.8139,POINT(93.8139 24.9163)
Manipur,Bishnupur,Bishnupur Sub-Division,Mangan Ward-6,24.6541,93.904,POINT(93.904 24.6541)
Manipur,Senapati,Senapati Sub-Division,Nambol Ward-7,25.172,94.0555,POINT(94.0555 25.172)
Mizoram,Aizawl,Aizawl Sub-Division,Rupa Ward-8,23.8074,92.5703,POINT(92.5703 23.8074)
Mizoram,Kolasib,Kolasib Sub-Division,Chaygaon Ward-9,24.3103,92.5971,POINT(92.5971 24.3103)
Mizoram,Lunglei,Lunglei Sub-Division,Lumla Ward-10,23.0201,92.7828,POINT(92.7828 23.0201)
Tripura,West Tripura,West Tripura Sub-Division,Sipajhar Ward-11,23.8192,91.2023,POINT(91.2023 23.8192)
Tripura,Sipahijala,Sipahijala Sub-Division,Jang Ward-12,23.6041,91.1927,POINT(91.1927 23.6041)
Tripura,Dhalai,Dhalai Sub-Division,Teliamura Ward-13,23.9518,91.8684,POINT(91.8684 23.9518)
Arunachal Pradesh,Tawang,Tawang Sub-Division,Bishalgarh Ward-14,27.4685,91.7286,POINT(91.7286 27.4685)
Arunachal Pradesh,West Kameng,West Kameng Sub-Division,Chumukedima Ward-15,27.1928,92.4792,POINT(92.4792 27.1928)
Arunachal Pradesh,Papum Pare,Papum Pare Sub-Division,Tenga Ward-16,27.1056,93.5387,POINT(93.5387 27.1056)
Arunachal Pradesh,East Siang,East Siang Sub-Division,Nongpoh Ward-17,28.096,95.3742,POINT(95.3742 28.096)
Arunachal Pradesh,Lower Subansiri,Lower Subansiri Sub-Division,Kalaigaon Ward-18,27.5492,93.7687,POINT(93.7687 27.5492)
Assam,Kamrup Metropolitan,Kamrup Metropolitan Sub-Division,Serchhip Ward-19,26.0051,91.7986,POINT(91.7986 26.0051)
Assam,Kamrup Rural,Kamrup Rural Sub-Division,Lumla Ward-20,26.249,91.6179,POINT(91.6179 26.249)
Assam,Darrang,Darrang Sub-Division,Gyalshing Ward-21,26.5036,92.0332,POINT(92.0332 26.5036)
Assam,Sonitpur,Sonitpur Sub-Division,Nambol Ward-22,26.6513,92.7307,POINT(92.7307 26.6513)
Assam,Dibrugarh,Dibrugarh Sub-Division,Moirang Ward-23,27.5653,94.9909,POINT(94.9909 27.5653)
Assam,Cachar,Cachar Sub-Division,Sipajhar Ward-24,24.8796,92.6956,POINT(92.6956 24.8796)
Assam,Nagaon,Nagaon Sub-Division,Dirang Ward-25,26.4316,92.6334,POINT(92.6334 26.4316)
Meghalaya,East Khasi Hills,East Khasi Hills Sub-Division,Sipajhar Ward-1,25.4641,91.7594,POINT(91.7594 25.4641)
Meghalaya,West Khasi Hills,West Khasi Hills Sub-Division,Jang Ward-2,25.3814,91.3768,POINT(91.3768 25.3814)
Meghalaya,Ri-Bhoi,Ri-Bhoi Sub-Division,Sipajhar Ward-3,25.909,91.8539,POINT(91.8539 25.909)
Meghalaya,West Jaintia Hills,West Jaintia Hills Sub-Division,Lumla Ward-4,25.3601,92.1728,POINT(92.1728 25.3601)
Sikkim,East Sikkim,East Sikkim Sub-Division,Lumla Ward-5,27.2319,88.7152,POINT(88.7152 27.2319)
Sikkim,North Sikkim,North Sikkim Sub-Division,Dirang Ward-6,27.5393,88.453,POINT(88.453 27.5393)
Sikkim,South Sikkim,South Sikkim Sub-Division,Serchhip Ward-7,27.0828,88.4321,POINT(88.4321 27.0828)
Nagaland,Kohima,Kohima Sub-Division,Sipajhar Ward-8,25.7542,93.985,POINT(93.985 25.7542)
Nagaland,Dimapur,Dimapur Sub-Division,Tseminyu Ward-9,25.8855,93.7207,POINT(93.7207 25.8855)
Nagaland,Mokokchung,Mokokchung Sub-Division,Chumukedima Ward-10,26.2869,94.3742,POINT(94.3742 26.2869)
Manipur,Imphal West,Imphal West Sub-Division,Moirang Ward-11,24.6724,93.788,POINT(93.788 24.6724)
Manipur,Bishnupur,Bishnupur Sub-Division,Moirang Ward-12,24.5857,93.6532,POINT(93.6532 24.5857)
Manipur,Senapati,Senapati Sub-Division,Rupa Ward-13,25.1296,93.8737,POINT(93.8737 25.1296)
Mizoram,Aizawl,Aizawl Sub-Division,Rangia Ward-14,23.7343,92.6977,POINT(92.6977 23.7343)
Mizoram,Kolasib,Kolasib Sub-Division,Teliamura Ward-15,24.3404,92.6378,POINT(92.6378 24.3404)
Mizoram,Lunglei,Lunglei Sub-Division,Nambol Ward-16,22.9736,92.5957,POINT(92.5957 22.9736)
Tripura,West Tripura,West Tripura Sub-Division,Cherrapunji Ward-17,23.9017,91.3137,POINT(91.3137 23.9017)
Tripura,Sipahijala,Sipahijala Sub-Division,Singtam Ward-18,23.7226,91.2746,POINT(91.2746 23.7226)
Tripura,Dhalai,Dhalai Sub-Division,Mairang Ward-19,23.7146,91.9984,POINT(91.9984 23.7146)
Arunachal Pradesh,Tawang,Tawang Sub-Division,Teliamura Ward-20,27.4506,91.7441,POINT(91.7441 27.4506)
Arunachal Pradesh,West Kameng,West Kameng Sub-Division,Singtam Ward-21,27.2568,92.3118,POINT(92.3118 27.2568)
Arunachal Pradesh,Papum Pare,Papum Pare Sub-Division,Sipajhar Ward-22,27.0767,93.4969,POINT(93.4969 27.0767)
Arunachal Pradesh,East Siang,East Siang Sub-Division,Cherrapunji Ward-23,27.9571,95.4252,POINT(95.4252 27.9571)
Arunachal Pradesh,Lower Subansiri,Lower Subansiri Sub-Division,Nambol Ward-24,27.4848,93.9154,POINT(93.9154 27.4848)
Assam,Kamrup Metropolitan,Kamrup Metropolitan Sub-Division,Chumukedima Ward-25,26.0734,91.7431,POINT(91.7431 26.0734)
Assam,Kamrup Rural,Kamrup Rural Sub-Division,Jang Ward-1,26.0831,91.5764,POINT(91.5764 26.0831)
Assam,Darrang,Darrang Sub-Division,Nambol Ward-2,26.4012,91.8818,POINT(91.8818 26.4012)
Assam,Sonitpur,Sonitpur Sub-Division,Sipajhar Ward-3,26.656,92.7908,POINT(92.7908 26.656)
Assam,Dibrugarh,Dibrugarh Sub-Division,Bishalgarh Ward-4,27.5399,95.0334,POINT(95.0334 27.5399)
Assam,Cachar,Cachar Sub-Division,Rupa Ward-5,24.7721,92.7682,POINT(92.7682 24.7721)
Assam,Nagaon,Nagaon Sub-Division,Rangia Ward-6,26.4509,92.6421,POINT(92.6421 26.4509)
Meghalaya,East Khasi Hills,East Khasi Hills Sub-Division,Bishalgarh Ward-7,25.4573,91.9708,POINT(91.9708 25.4573)
Meghalaya,West Khasi Hills,West Khasi Hills Sub-Division,Sipajhar Ward-8,25.5542,91.2086,POINT(91.2086 25.5542)
Meghalaya,Ri-Bhoi,Ri-Bhoi Sub-Division,Mangan Ward-9,26.0135,91.7579,POINT(91.7579 26.0135)
Meghalaya,West Jaintia Hills,West Jaintia Hills Sub-Division,Tseminyu Ward-10,25.4201,92.187,POINT(92.187 25.4201)
Sikkim,East Sikkim,East Sikkim Sub-Division,Nambol Ward-11,27.4289,88.6512,POINT(88.6512 27.4289)
Sikkim,North Sikkim,North Sikkim Sub-Division,Rangia Ward-12,27.5679,88.6945,POINT(88.6945 27.5679)
Sikkim,South Sikkim,South Sikkim Sub-Division,Serchhip Ward-13,27.1972,88.4407,POINT(88.4407 27.1972)
Nagaland,Kohima,Kohima Sub-Division,Chumukedima Ward-14,25.7588,94.142,POINT(94.142 25.7588)
Nagaland,Dimapur,Dimapur Sub-Division,Hnahthial Ward-15,26.0488,93.6167,POINT(93.6167 26.0488)
Nagaland,Mokokchung,Mokokchung Sub-Division,Mairang Ward-16,26.3072,94.389,POINT(94.389 26.3072)
Manipur,Imphal West,Imphal West Sub-Division,Mangan Ward-17,24.8704,94.0171,POINT(94.0171 24.8704)
Manipur,Bishnupur,Bishnupur Sub-Division,Nambol Ward-18,24.7691,93.8764,POINT(93.8764 24.7691)
Manipur,Senapati,Senapati Sub-Division,Tseminyu Ward-19,25.1386,94.0585,POINT(94.0585 25.1386)
Mizoram,Aizawl,Aizawl Sub-Division,Moirang Ward-20,23.7695,92.6122,POINT(92.6122 23.7695)
Mizoram,Kolasib,Kolasib Sub-Division,Singtam Ward-21,24.0864,92.723,POINT(92.723 24.0864)
Mizoram,Lunglei,Lunglei Sub-Division,Nongpoh Ward-22,22.8788,92.6396,POINT(92.6396 22.8788)
Tripura,West Tripura,West Tripura Sub-Division,Chumukedima Ward-23,23.9725,91.1519,POINT(91.1519 23.9725)
Tripura,Sipahijala,Sipahijala Sub-Division,Ambassa Ward-24,23.7301,91.1856,POINT(91.1856 23.7301)
Tripura,Dhalai,Dhalai Sub-Division,Rupa Ward-25,23.957,91.8341,POINT(91.8341 23.957)
Arunachal Pradesh,Tawang,Tawang Sub-Division,Hnahthial Ward-1,27.4414,91.8304,POINT(91.8304 27.4414)
Arunachal Pradesh,West Kameng,West Kameng Sub-Division,Nongpoh Ward-2,27.1418,92.4472,POINT(92.4472 27.1418)
Arunachal Pradesh,Papum Pare,Papum Pare Sub-Division,Hnahthial Ward-3,27.1191,93.663,POINT(93.663 27.1191)
Arunachal Pradesh,East Siang,East Siang Sub-Division,Serchhip Ward-4,27.9323,95.2429,POINT(95.2429 27.9323)
Arunachal Pradesh,Lower Subansiri,Lower Subansiri Sub-Division,Chaygaon Ward-5,27.58,93.895,POINT(93.895 27.58)
Assam,Kamrup Metropolitan,Kamrup Metropolitan Sub-Division,Serchhip Ward-6,26.2223,91.6527,POINT(91.6527 26.2223)
Assam,Kamrup Rural,Kamrup Rural Sub-Division,Gyalshing Ward-7,26.275,91.5763,POINT(91.5763 26.275)
Assam,Darrang,Darrang Sub-Division,Chaygaon Ward-8,26.3512,91.9231,POINT(91.9231 26.3512)
Assam,Sonitpur,Sonitpur Sub-Division,Singtam Ward-9,26.5601,92.7014,POINT(92.7014 26.5601)
Assam,Dibrugarh,Dibrugarh Sub-Division,Nambol Ward-10,27.4599,94.9964,POINT(94.9964 27.4599)
Assam,Cachar,Cachar Sub-Division,Ambassa Ward-11,24.6973,92.8189,POINT(92.8189 24.6973)
Assam,Nagaon,Nagaon Sub-Division,Rangia Ward-12,26.3304,92.7315,POINT(92.7315 26.3304)
Meghalaya,East Khasi Hills,East Khasi Hills Sub-Division,Kalaigaon Ward-13,25.5879,91.7579,POINT(91.7579 25.5879)
Meghalaya,West Khasi Hills,West Khasi Hills Sub-Division,Gyalshing Ward-14,25.6373,91.3443,POINT(91.3443 25.6373)
Meghalaya,Ri-Bhoi,Ri-Bhoi Sub-Division,Singtam Ward-15,25.9691,91.7685,POINT(91.7685 25.9691)
Meghalaya,West Jaintia Hills,West Jaintia Hills Sub-Division,Tenga Ward-16,25.3966,92.3144,POINT(92.3144 25.3966)
Sikkim,East Sikkim,East Sikkim Sub-Division,Rupa Ward-17,27.4176,88.5386,POINT(88.5386 27.4176)
Sikkim,North Sikkim,North Sikkim Sub-Division,Chumukedima Ward-18,27.39,88.5238,POINT(88.5238 27.39)
Sikkim,South Sikkim,South Sikkim Sub-Division,Serchhip Ward-19,27.2729,88.3643,POINT(88.3643 27.2729)
Nagaland,Kohima,Kohima Sub-Division,Nongpoh Ward-20,25.7149,94.0189,POINT(94.0189 25.7149)
Nagaland,Dimapur,Dimapur Sub-Division,Kalaigaon Ward-21,26.0332,93.6173,POINT(93.6173 26.0332)
Nagaland,Mokokchung,Mokokchung Sub-Division,Chaygaon Ward-22,26.3262,94.5783,POINT(94.5783 26.3262)
Manipur,Imphal West,Imphal West Sub-Division,Kalaigaon Ward-23,24.8357,93.9616,POINT(93.9616 24.8357)
Manipur,Bishnupur,Bishnupur Sub-Division,Sipajhar Ward-24,24.7068,93.8669,POINT(93.8669 24.7068)
Manipur,Senapati,Senapati Sub-Division,Chumukedima Ward-25,25.1138,93.8919,POINT(93.8919 25.1138)
Mizoram,Aizawl,Aizawl Sub-Division,Moirang Ward-1,23.6371,92.7927,POINT(92.7927 23.6371)
Mizoram,Kolasib,Kolasib Sub-Division,Teliamura Ward-2,24.1139,92.5486,POINT(92.5486 24.1139)
Mizoram,Lunglei,Lunglei Sub-Division,Tenga Ward-3,22.7397,92.8342,POINT(92.8342 22.7397)
Tripura,West Tripura,West Tripura Sub-Division,Chaygaon Ward-4,23.8501,91.2041,POINT(91.2041 23.8501)
Tripura,Sipahijala,Sipahijala Sub-Division,Moirang Ward-5,23.7203,91.4016,POINT(91.4016 23.7203)
Tripura,Dhalai,Dhalai Sub-Division,Nambol Ward-6,23.8145,91.825,POINT(91.825 23.8145)
Arunachal Pradesh,Tawang,Tawang Sub-Division,Tenga Ward-7,27.6017,91.7133,POINT(91.7133 27.6017)
Arunachal Pradesh,West Kameng,West Kameng Sub-Division,Gyalshing Ward-8,27.3726,92.3988,POINT(92.3988 27.3726)
Arunachal Pradesh,Papum Pare,Papum Pare Sub-Division,Bishalgarh Ward-9,27.1447,93.6931,POINT(93.6931 27.1447)
Arunachal Pradesh,East Siang,East Siang Sub-Division,Jang Ward-10,28.1335,95.234,POINT(95.234 28.1335)
Arunachal Pradesh,Lower Subansiri,Lower Subansiri Sub-Division,Serchhip Ward-11,27.4561,93.7321,POINT(93.7321 27.4561)
Assam,Kamrup Metropolitan,Kamrup Metropolitan Sub-Division,Ambassa Ward-12,26.0782,91.6655,POINT(91.6655 26.0782)
Assam,Kamrup Rural,Kamrup Rural Sub-Division,Sipajhar Ward-13,26.1342,91.6249,POINT(91.6249 26.1342)
Assam,Darrang,Darrang Sub-Division,Lumla Ward-14,26.4811,92.1131,POINT(92.1131 26.4811)
Assam,Sonitpur,Sonitpur Sub-Division,Ambassa Ward-15,26.631,92.8144,POINT(92.8144 26.631)
Assam,Dibrugarh,Dibrugarh Sub-Division,Jang Ward-16,27.4804,95.0491,POINT(95.0491 27.4804)
Assam,Cachar,Cachar Sub-Division,Jang Ward-17,24.8081,92.79,POINT(92.79 24.8081)
Assam,Nagaon,Nagaon Sub-Division,Tseminyu Ward-18,26.3942,92.6333,POINT(92.6333 26.3942)
Meghalaya,East Khasi Hills,East Khasi Hills Sub-Division,Singtam Ward-19,25.5879,92.0423,POINT(92.0423 25.5879)
Meghalaya,West Khasi Hills,West Khasi Hills Sub-Division,Moirang Ward-20,25.3944,91.2138,POINT(91.2138 25.3944)
Meghalaya,Ri-Bhoi,Ri-Bhoi Sub-Division,Sipajhar Ward-21,25.9363,92.0177,POINT(92.0177 25.9363)
Meghalaya,West Jaintia Hills,West Jaintia Hills Sub-Division,Mairang Ward-22,25.5389,92.084,POINT(92.084 25.5389)
Sikkim,East Sikkim,East Sikkim Sub-Division,Rupa Ward-23,27.4623,88.7031,POINT(88.7031 27.4623)
Sikkim,North Sikkim,North Sikkim Sub-Division,Jang Ward-24,27.496,88.4889,POINT(88.4889 27.496)
Sikkim,South Sikkim,South Sikkim Sub-Division,Tenga Ward-25,27.3045,88.2502,POINT(88.2502 27.3045)
Nagaland,Kohima,Kohima Sub-Division,Hnahthial Ward-1,25.5447,94.1597,POINT(94.1597 25.5447)
Nagaland,Dimapur,Dimapur Sub-Division,Chaygaon Ward-2,26.0075,93.6392,POINT(93.6392 26.0075)
Nagaland,Mokokchung,Mokokchung Sub-Division,Ambassa Ward-3,26.4076,94.564,POINT(94.564 26.4076)
Manipur,Imphal West,Imphal West Sub-Division,Bishalgarh Ward-4,24.6741,94.0019,POINT(94.0019 24.6741)
Manipur,Bishnupur,Bishnupur Sub-Division,Rangia Ward-5,24.7207,93.7819,POINT(93.7819 24.7207)
Manipur,Senapati,Senapati Sub-Division,Cherrapunji Ward-6,25.2323,93.9953,POINT(93.9953 25.2323)
Mizoram,Aizawl,Aizawl Sub-Division,Mangan Ward-7,23.7791,92.7281,POINT(92.7281 23.7791)
Mizoram,Kolasib,Kolasib Sub-Division,Kalaigaon Ward-8,24.2938,92.5437,POINT(92.5437 24.2938)
Mizoram,Lunglei,Lunglei Sub-Division,Nongpoh Ward-9,22.7618,92.8261,POINT(92.8261 22.7618)
Tripura,West Tripura,West Tripura Sub-Division,Nongpoh Ward-10,23.9595,91.2512,POINT(91.2512 23.9595)
Tripura,Sipahijala,Sipahijala Sub-Division,Sipajhar Ward-11,23.645,91.2029,POINT(91.2029 23.645)
Tripura,Dhalai,Dhalai Sub-Division,Rupa Ward-12,23.7885,91.8902,POINT(91.8902 23.7885)
Arunachal Pradesh,Tawang,Tawang Sub-Division,Rangia Ward-13,27.6746,91.9282,POINT(91.9282 27.6746)
Arunachal Pradesh,West Kameng,West Kameng Sub-Division,Lumla Ward-14,27.3769,92.3083,POINT(92.3083 27.3769)
Arunachal Pradesh,Papum Pare,Papum Pare Sub-Division,Teliamura Ward-15,27.1115,93.7507,POINT(93.7507 27.1115)
Arunachal Pradesh,East Siang,East Siang Sub-Division,Mangan Ward-16,28.1338,95.2395,POINT(95.2395 28.1338)
Arunachal Pradesh,Lower Subansiri,Lower Subansiri Sub-Division,Teliamura Ward-17,27.4483,93.7462,POINT(93.7462 27.4483)
Assam,Kamrup Metropolitan,Kamrup Metropolitan Sub-Division,Nambol Ward-18,26.1958,91.7564,POINT(91.7564 26.1958)
Assam,Kamrup Rural,Kamrup Rural Sub-Division,Tenga Ward-19,26.3333,91.5504,POINT(91.5504 26.3333)
Assam,Darrang,Darrang Sub-Division,Nambol Ward-20,26.3772,91.9402,POINT(91.9402 26.3772)
Assam,Sonitpur,Sonitpur Sub-Division,Dirang Ward-21,26.5223,92.8392,POINT(92.8392 26.5223)
Assam,Dibrugarh,Dibrugarh Sub-Division,Gyalshing Ward-22,27.3808,94.9078,POINT(94.9078 27.3808)
Assam,Cachar,Cachar Sub-Division,Nambol Ward-23,24.8586,92.7986,POINT(92.7986 24.8586)
Assam,Nagaon,Nagaon Sub-Division,Sipajhar Ward-24,26.2458,92.628,POINT(92.628 26.2458)
Meghalaya,East Khasi Hills,East Khasi Hills Sub-Division,Nambol Ward-25,25.5596,91.9953,POINT(91.9953 25.5596)
Meghalaya,West Khasi Hills,West Khasi Hills Sub-Division,Bishalgarh Ward-1,25.504,91.2436,POINT(91.2436 25.504)
Meghalaya,Ri-Bhoi,Ri-Bhoi Sub-Division,Singtam Ward-2,25.8027,91.912,POINT(91.912 25.8027)
Meghalaya,West Jaintia Hills,West Jaintia Hills Sub-Division,Nambol Ward-3,25.5674,92.1089,POINT(92.1089 25.5674)
Sikkim,East Sikkim,East Sikkim Sub-Division,Hnahthial Ward-4,27.2115,88.4621,POINT(88.4621 27.2115)
Sikkim,North Sikkim,North Sikkim Sub-Division,Tenga Ward-5,27.5237,88.6308,POINT(88.6308 27.5237)
Sikkim,South Sikkim,South Sikkim Sub-Division,Singtam Ward-6,27.183,88.4996,POINT(88.4996 27.183)
Nagaland,Kohima,Kohima Sub-Division,Teliamura Ward-7,25.6428,94.226,POINT(94.226 25.6428)
Nagaland,Dimapur,Dimapur Sub-Division,Hnahthial Ward-8,25.8962,93.7306,POINT(93.7306 25.8962)
Nagaland,Mokokchung,Mokokchung Sub-Division,Moirang Ward-9,26.2467,94.6592,POINT(94.6592 26.2467)
Manipur,Imphal West,Imphal West Sub-Division,Bishalgarh Ward-10,24.7091,93.8346,POINT(93.8346 24.7091)
Manipur,Bishnupur,Bishnupur Sub-Division,Jang Ward-11,24.7727,93.8353,POINT(93.8353 24.7727)
Manipur,Senapati,Senapati Sub-Division,Moirang Ward-12,25.3384,93.9295,POINT(93.9295 25.3384)
Mizoram,Aizawl,Aizawl Sub-Division,Gyalshing Ward-13,23.6391,92.8399,POINT(92.8399 23.6391)
Mizoram,Kolasib,Kolasib Sub-Division,Tenga Ward-14,24.3345,92.542,POINT(92.542 24.3345)
Mizoram,Lunglei,Lunglei Sub-Division,Tenga Ward-15,22.8864,92.8389,POINT(92.8389 22.8864)
Tripura,West Tripura,West Tripura Sub-Division,Teliamura Ward-16,23.8525,91.2498,POINT(91.2498 23.8525)
Tripura,Sipahijala,Sipahijala Sub-Division,Chumukedima Ward-17,23.7356,91.317,POINT(91.317 23.7356)
Tripura,Dhalai,Dhalai Sub-Division,Singtam Ward-18,23.8218,91.9452,POINT(91.9452 23.8218)
Arunachal Pradesh,Tawang,Tawang Sub-Division,Rangia Ward-19,27.6174,91.86,POINT(91.86 27.6174)
Arunachal Pradesh,West Kameng,West Kameng Sub-Division,Mairang Ward-20,27.2689,92.3501,POINT(92.3501 27.2689)
Arunachal Pradesh,Papum Pare,Papum Pare Sub-Division,Nambol Ward-21,27.1656,93.5021,POINT(93.5021 27.1656)
Arunachal Pradesh,East Siang,East Siang Sub-Division,Serchhip Ward-22,27.95,95.3786,POINT(95.3786 27.95)
Arunachal Pradesh,Lower Subansiri,Lower Subansiri Sub-Division,Mangan Ward-23,27.65,93.6867,POINT(93.6867 27.65)
Assam,Kamrup Metropolitan,Kamrup Metropolitan Sub-Division,Rangia Ward-24,26.0349,91.74,POINT(91.74 26.0349)
Assam,Kamrup Rural,Kamrup Rural Sub-Division,Lumla Ward-25,26.1125,91.466,POINT(91.466 26.1125)
Assam,Darrang,Darrang Sub-Division,Chaygaon Ward-1,26.3076,92.0969,POINT(92.0969 26.3076)
Assam,Sonitpur,Sonitpur Sub-Division,Serchhip Ward-2,26.5488,92.8246,POINT(92.8246 26.5488)
Assam,Dibrugarh,Dibrugarh Sub-Division,Rangia Ward-3,27.5719,94.9423,POINT(94.9423 27.5719)
Assam,Cachar,Cachar Sub-Division,Singtam Ward-4,24.8703,92.7821,POINT(92.7821 24.8703)
Assam,Nagaon,Nagaon Sub-Division,Rupa Ward-5,26.3312,92.7112,POINT(92.7112 26.3312)
Meghalaya,East Khasi Hills,East Khasi Hills Sub-Division,Teliamura Ward-6,25.4338,91.9001,POINT(91.9001 25.4338)
Meghalaya,West Khasi Hills,West Khasi Hills Sub-Division,Nongpoh Ward-7,25.4049,91.1389,POINT(91.1389 25.4049)
Meghalaya,Ri-Bhoi,Ri-Bhoi Sub-Division,Rangia Ward-8,26.0133,91.8894,POINT(91.8894 26.0133)
Meghalaya,West Jaintia Hills,West Jaintia Hills Sub-Division,Cherrapunji Ward-9,25.3391,92.231,POINT(92.231 25.3391)
Sikkim,East Sikkim,East Sikkim Sub-Division,Rupa Ward-10,27.3925,88.5859,POINT(88.5859 27.3925)
Sikkim,North Sikkim,North Sikkim Sub-Division,Serchhip Ward-11,27.5089,88.4688,POINT(88.4688 27.5089)
Sikkim,South Sikkim,South Sikkim Sub-Division,Nongpoh Ward-12,27.1252,88.4414,POINT(88.4414 27.1252)
Nagaland,Kohima,Kohima Sub-Division,Hnahthial Ward-13,25.5544,93.9988,POINT(93.9988 25.5544)
Nagaland,Dimapur,Dimapur Sub-Division,Tseminyu Ward-14,25.7819,93.757,POINT(93.757 25.7819)
Nagaland,Mokokchung,Mokokchung Sub-Division,Mangan Ward-15,26.3877,94.6068,POINT(94.6068 26.3877)
Manipur,Imphal West,Imphal West Sub-Division,Teliamura Ward-16,24.7795,93.8484,POINT(93.8484 24.7795)
Manipur,Bishnupur,Bishnupur Sub-Division,Chumukedima Ward-17,24.5288,93.81,POINT(93.81 24.5288)
Manipur,Senapati,Senapati Sub-Division,Mairang Ward-18,25.2794,94.0436,POINT(94.0436 25.2794)
Mizoram,Aizawl,Aizawl Sub-Division,Singtam Ward-19,23.7427,92.7349,POINT(92.7349 23.7427)
Mizoram,Kolasib,Kolasib Sub-Division,Ambassa Ward-20,24.1461,92.622,POINT(92.622 24.1461)
Mizoram,Lunglei,Lunglei Sub-Division,Bishalgarh Ward-21,22.7714,92.8491,POINT(92.8491 22.7714)
Tripura,West Tripura,West Tripura Sub-Division,Moirang Ward-22,23.8913,91.1853,POINT(91.1853 23.8913)
Tripura,Sipahijala,Sipahijala Sub-Division,Sipajhar Ward-23,23.7253,91.3462,POINT(91.3462 23.7253)
Tripura,Dhalai,Dhalai Sub-Division,Singtam Ward-24,23.9894,91.7016,POINT(91.7016 23.9894)
Arunachal Pradesh,Tawang,Tawang Sub-Division,Sipajhar Ward-25,27.6162,91.7358,POINT(91.7358 27.6162)
Arunachal Pradesh,West Kameng,West Kameng Sub-Division,Sipajhar Ward-1,27.1258,92.3812,POINT(92.3812 27.1258)
Arunachal Pradesh,Papum Pare,Papum Pare Sub-Division,Kalaigaon Ward-2,27.1639,93.6458,POINT(93.6458 27.1639)
Arunachal Pradesh,East Siang,East Siang Sub-Division,Rupa Ward-3,28.0477,95.2365,POINT(95.2365 28.0477)
Arunachal Pradesh,Lower Subansiri,Lower Subansiri Sub-Division,Serchhip Ward-4,27.4584,93.9152,POINT(93.9152 27.4584)
Assam,Kamrup Metropolitan,Kamrup Metropolitan Sub-Division,Teliamura Ward-5,26.0453,91.597,POINT(91.597 26.0453)
Assam,Kamrup Rural,Kamrup Rural Sub-Division,Bishalgarh Ward-6,26.0611,91.4948,POINT(91.4948 26.0611)
Assam,Darrang,Darrang Sub-Division,Kalaigaon Ward-7,26.4778,92.0363,POINT(92.0363 26.4778)
