travel_id,road_id,timestamp,state,district,distance_km,speed_limit_kmph,average_speed_kmph,traffic_level,weather_condition,road_condition,travel_time_minutes,delay_minutes
T000480,NH-06,2026-06-18 21:58:00,Meghalaya,Ri-Bhoi,15.1,65,33.8,MODERATE,HEAVY_RAIN,GOOD,26.8,12.9
T000481,NH-06,2026-06-18 22:00:00,Meghalaya,West Jaintia Hills,6.2,45,9.9,HIGH,TORRENTIAL_RAIN,FAIR,37.6,29.3
T000482,NH-10,2026-06-18 22:02:00,Sikkim,East Sikkim,9.9,35,19.2,HIGH,LIGHT_RAIN,POOR,30.9,13.9
T000483,NH-310,2026-06-18 22:04:00,Sikkim,North Sikkim,8.0,30,20.1,HIGH,CLEAR,POOR,23.9,7.9
T000484,NH-510,2026-06-18 22:06:00,Sikkim,South Sikkim,8.4,40,16.8,HIGH,MODERATE_RAIN,POOR,30.0,17.4
T000485,NH-29,2026-06-18 22:08:00,Nagaland,Kohima,20.9,40,16.8,HIGH,MODERATE_RAIN,POOR,74.6,43.2
T000486,NH-29,2026-06-18 22:10:00,Nagaland,Dimapur,5.7,65,65.0,LOW,CLEAR,GOOD,5.3,0.0
T000487,NH-02,2026-06-18 22:12:00,Nagaland,Mokokchung,9.2,40,22.0,MODERATE,LIGHT_RAIN,POOR,25.1,11.3
T000488,NH-02,2026-06-18 22:14:00,Manipur,Imphal West,17.1,60,31.2,MODERATE,HEAVY_RAIN,GOOD,32.9,15.8
T000489,NH-02,2026-06-18 22:16:00,Manipur,Bishnupur,12.4,55,48.4,LOW,LIGHT_RAIN,GOOD,15.4,1.9
T000490,NH-02,2026-06-18 22:18:00,Manipur,Senapati,6.7,45,45.0,LOW,CLEAR,FAIR,8.9,0.0
T000491,NH-54,2026-06-18 22:20:00,Mizoram,Aizawl,16.6,40,26.8,MODERATE,CLEAR,POOR,37.2,12.3
T000492,NH-54,2026-06-18 22:22:00,Mizoram,Kolasib,19.2,45,39.6,MODERATE,LIGHT_RAIN,FAIR,29.1,3.5
T000493,NH-54,2026-06-18 22:24:00,Mizoram,Lunglei,11.9,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,93.9,76.1
T000494,NH-08,2026-06-18 22:26:00,Tripura,West Tripura,11.2,65,57.2,LOW,LIGHT_RAIN,GOOD,11.7,1.4
T000495,NH-08,2026-06-18 22:28:00,Tripura,Sipahijala,5.4,65,33.8,MODERATE,HEAVY_RAIN,GOOD,9.6,4.6
T000496,NH-08,2026-06-18 22:30:00,Tripura,Dhalai,15.2,55,55.0,LOW,CLEAR,GOOD,16.6,0.0
T000497,NH-13,2026-06-18 22:32:00,Arunachal Pradesh,Tawang,18.8,35,19.2,HIGH,LIGHT_RAIN,POOR,58.8,26.6
T000498,NH-13,2026-06-18 22:34:00,Arunachal Pradesh,West Kameng,14.5,40,22.0,MODERATE,LIGHT_RAIN,POOR,39.5,17.8
T000499,NH-415,2026-06-18 22:36:00,Arunachal Pradesh,Papum Pare,17.0,50,26.0,MODERATE,HEAVY_RAIN,FAIR,39.2,18.8
T000500,NH-515,2026-06-18 22:38:00,Arunachal Pradesh,East Siang,8.8,60,60.0,LOW,CLEAR,GOOD,8.8,0.0
T000501,NH-13,2026-06-18 22:40:00,Arunachal Pradesh,Lower Subansiri,13.9,40,16.8,HIGH,MODERATE_RAIN,POOR,49.6,28.8
T000502,NH-27,2026-06-18 22:42:00,Assam,Kamrup Metropolitan,12.5,80,80.0,LOW,CLEAR,GOOD,9.4,0.0
T000503,NH-27,2026-06-18 22:44:00,Assam,Kamrup Rural,20.7,80,60.0,LOW,MODERATE_RAIN,GOOD,20.7,5.2
T000504,NH-15,2026-06-18 22:46:00,Assam,Darrang,5.6,65,57.2,LOW,LIGHT_RAIN,GOOD,5.9,0.7
T000505,NH-15,2026-06-18 22:48:00,Assam,Sonitpur,15.2,70,61.6,LOW,LIGHT_RAIN,GOOD,14.8,1.8
T000506,NH-37,2026-06-18 22:50:00,Assam,Dibrugarh,12.6,70,15.4,HIGH,TORRENTIAL_RAIN,GOOD,49.1,38.3
T000507,NH-37,2026-06-18 22:52:00,Assam,Cachar,10.6,60,45.0,LOW,MODERATE_RAIN,GOOD,14.1,3.5
T000508,NH-27,2026-06-18 22:54:00,Assam,Nagaon,5.9,75,56.2,LOW,MODERATE_RAIN,GOOD,6.3,1.6
T000509,NH-206,2026-06-18 22:56:00,Meghalaya,East Khasi Hills,13.3,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,105.0,85.0
T000510,NH-127B,2026-06-18 22:58:00,Meghalaya,West Khasi Hills,20.7,45,23.4,MODERATE,HEAVY_RAIN,FAIR,53.1,25.5
T000511,NH-06,2026-06-18 23:00:00,Meghalaya,Ri-Bhoi,15.0,65,57.2,LOW,LIGHT_RAIN,FAIR,15.7,1.9
T000512,NH-06,2026-06-18 23:02:00,Meghalaya,West Jaintia Hills,20.0,45,45.0,LOW,CLEAR,FAIR,26.7,0.0
T000513,NH-10,2026-06-18 23:04:00,Sikkim,East Sikkim,13.6,35,19.2,HIGH,LIGHT_RAIN,POOR,42.5,19.2
T000514,NH-310,2026-06-18 23:06:00,Sikkim,North Sikkim,14.2,30,12.6,HIGH,MODERATE_RAIN,POOR,67.6,39.2
T000515,NH-510,2026-06-18 23:08:00,Sikkim,South Sikkim,6.8,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,102.0,91.8
T000516,NH-29,2026-06-18 23:10:00,Nagaland,Kohima,20.8,40,16.8,HIGH,MODERATE_RAIN,POOR,74.3,43.1
T000517,NH-29,2026-06-18 23:12:00,Nagaland,Dimapur,19.9,65,14.3,HIGH,TORRENTIAL_RAIN,GOOD,83.5,65.1
T000518,NH-02,2026-06-18 23:14:00,Nagaland,Mokokchung,10.5,40,16.8,HIGH,MODERATE_RAIN,POOR,37.5,21.8
T000519,NH-02,2026-06-18 23:16:00,Manipur,Imphal West,13.4,60,52.8,LOW,LIGHT_RAIN,GOOD,15.2,1.8
T000520,NH-02,2026-06-18 23:18:00,Manipur,Bishnupur,20.6,55,28.6,MODERATE,HEAVY_RAIN,GOOD,43.2,20.7
T000521,NH-02,2026-06-18 23:20:00,Manipur,Senapati,16.1,45,8.5,HIGH,HEAVY_RAIN,POOR,113.6,92.1
T000522,NH-54,2026-06-18 23:22:00,Mizoram,Aizawl,9.4,40,22.0,MODERATE,LIGHT_RAIN,POOR,25.6,11.5
T000523,NH-54,2026-06-18 23:24:00,Mizoram,Kolasib,12.0,45,45.0,LOW,CLEAR,FAIR,16.0,0.0
T000524,NH-54,2026-06-18 23:26:00,Mizoram,Lunglei,7.5,40,26.8,MODERATE,CLEAR,POOR,16.8,5.6
T000525,NH-08,2026-06-18 23:28:00,Tripura,West Tripura,17.6,65,33.8,MODERATE,HEAVY_RAIN,GOOD,31.2,15.0
T000526,NH-08,2026-06-18 23:30:00,Tripura,Sipahijala,8.7,65,65.0,LOW,CLEAR,GOOD,8.0,0.0
T000527,NH-08,2026-06-18 23:32:00,Tripura,Dhalai,20.2,55,41.2,MODERATE,MODERATE_RAIN,GOOD,29.4,7.4
T000528,NH-13,2026-06-18 23:34:00,Arunachal Pradesh,Tawang,7.8,35,23.5,MODERATE,CLEAR,POOR,19.9,6.5
T000529,NH-13,2026-06-18 23:36:00,Arunachal Pradesh,West Kameng,10.6,40,22.0,MODERATE,LIGHT_RAIN,POOR,28.9,13.0
T000530,NH-415,2026-06-18 23:38:00,Arunachal Pradesh,Papum Pare,13.5,50,11.0,HIGH,TORRENTIAL_RAIN,FAIR,73.6,57.4
T000531,NH-515,2026-06-18 23:40:00,Arunachal Pradesh,East Siang,17.6,60,60.0,LOW,CLEAR,GOOD,17.6,0.0
T000532,NH-13,2026-06-18 23:42:00,Arunachal Pradesh,Lower Subansiri,18.5,40,22.0,MODERATE,LIGHT_RAIN,POOR,50.5,22.8
T000533,NH-27,2026-06-18 23:44:00,Assam,Kamrup Metropolitan,18.8,80,70.4,LOW,LIGHT_RAIN,GOOD,16.0,1.9
T000534,NH-27,2026-06-18 23:46:00,Assam,Kamrup Rural,15.4,80,17.6,HIGH,TORRENTIAL_RAIN,GOOD,52.5,41.0
T000535,NH-15,2026-06-18 23:48:00,Assam,Darrang,7.8,65,48.8,LOW,MODERATE_RAIN,GOOD,9.6,2.4
T000536,NH-15,2026-06-18 23:50:00,Assam,Sonitpur,19.8,70,36.4,MODERATE,HEAVY_RAIN,GOOD,32.6,15.6
T000537,NH-37,2026-06-18 23:52:00,Assam,Dibrugarh,16.0,70,36.4,MODERATE,HEAVY_RAIN,GOOD,26.4,12.7
T000538,NH-37,2026-06-18 23:54:00,Assam,Cachar,10.4,60,60.0,LOW,CLEAR,GOOD,10.4,0.0
T000539,NH-27,2026-06-18 23:56:00,Assam,Nagaon,21.3,75,75.0,LOW,CLEAR,GOOD,17.0,0.0
T000540,NH-206,2026-06-18 23:58:00,Meghalaya,East Khasi Hills,6.1,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,91.5,82.3
T000541,NH-127B,2026-06-19 00:00:00,Meghalaya,West Khasi Hills,10.7,45,23.4,MODERATE,HEAVY_RAIN,FAIR,27.4,13.1
T000542,NH-06,2026-06-19 00:02:00,Meghalaya,Ri-Bhoi,15.8,65,57.2,LOW,LIGHT_RAIN,FAIR,16.6,2.0
T000543,NH-06,2026-06-19 00:04:00,Meghalaya,West Jaintia Hills,5.5,45,33.8,MODERATE,MODERATE_RAIN,FAIR,9.8,2.5
T000544,NH-10,2026-06-19 00:06:00,Sikkim,East Sikkim,10.8,35,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,162.0,143.5
T000545,NH-310,2026-06-19 00:08:00,Sikkim,North Sikkim,17.4,30,5.7,STANDSTILL,HEAVY_RAIN,POOR,183.2,148.4
T000546,NH-510,2026-06-19 00:10:00,Sikkim,South Sikkim,15.7,40,16.8,HIGH,MODERATE_RAIN,POOR,56.1,32.6
T000547,NH-29,2026-06-19 00:12:00,Nagaland,Kohima,8.6,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,67.9,55.0
T000548,NH-29,2026-06-19 00:14:00,Nagaland,Dimapur,14.6,65,65.0,LOW,CLEAR,GOOD,13.5,0.0
T000549,NH-02,2026-06-19 00:16:00,Nagaland,Mokokchung,20.7,40,26.8,MODERATE,CLEAR,POOR,46.3,15.2
T000550,NH-02,2026-06-19 00:18:00,Manipur,Imphal West,10.5,60,60.0,LOW,CLEAR,GOOD,10.5,0.0
T000551,NH-02,2026-06-19 00:20:00,Manipur,Bishnupur,18.6,55,55.0,LOW,CLEAR,GOOD,20.3,0.0
T000552,NH-02,2026-06-19 00:22:00,Manipur,Senapati,9.8,45,23.4,MODERATE,HEAVY_RAIN,FAIR,25.1,12.0
T000553,NH-54,2026-06-19 00:24:00,Mizoram,Aizawl,10.2,40,16.8,HIGH,MODERATE_RAIN,POOR,36.4,21.1
T000554,NH-54,2026-06-19 00:26:00,Mizoram,Kolasib,11.9,45,23.4,MODERATE,HEAVY_RAIN,FAIR,30.5,14.6
T000555,NH-54,2026-06-19 00:28:00,Mizoram,Lunglei,9.5,40,22.0,MODERATE,LIGHT_RAIN,POOR,25.9,11.6
T000556,NH-08,2026-06-19 00:30:00,Tripura,West Tripura,20.8,65,14.3,HIGH,TORRENTIAL_RAIN,GOOD,87.3,68.1
T000557,NH-08,2026-06-19 00:32:00,Tripura,Sipahijala,13.3,65,48.8,LOW,MODERATE_RAIN,GOOD,16.4,4.1
T000558,NH-08,2026-06-19 00:34:00,Tripura,Dhalai,12.1,55,28.6,MODERATE,HEAVY_RAIN,GOOD,25.4,12.2
T000559,NH-13,2026-06-19 00:36:00,Arunachal Pradesh,Tawang,15.4,35,19.2,HIGH,LIGHT_RAIN,POOR,48.1,21.7
T000560,NH-13,2026-06-19 00:38:00,Arunachal Pradesh,West Kameng,10.2,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,80.5,65.2
T000561,NH-415,2026-06-19 00:40:00,Arunachal Pradesh,Papum Pare,18.2,50,11.0,HIGH,TORRENTIAL_RAIN,FAIR,99.3,77.5
T000562,NH-515,2026-06-19 00:42:00,Arunachal Pradesh,East Siang,6.0,60,45.0,LOW,MODERATE_RAIN,GOOD,8.0,2.0
T000563,NH-13,2026-06-19 00:44:00,Arunachal Pradesh,Lower Subansiri,16.7,40,16.8,HIGH,MODERATE_RAIN,POOR,59.6,34.6
T000564,NH-27,2026-06-19 00:46:00,Assam,Kamrup Metropolitan,7.8,80,41.6,MODERATE,HEAVY_RAIN,GOOD,11.2,5.3
T000565,NH-27,2026-06-19 00:48:00,Assam,Kamrup Rural,20.2,80,60.0,LOW,MODERATE_RAIN,GOOD,20.2,5.0
T000566,NH-15,2026-06-19 00:50:00,Assam,Darrang,14.4,65,33.8,MODERATE,HEAVY_RAIN,GOOD,25.6,12.3
T000567,NH-15,2026-06-19 00:52:00,Assam,Sonitpur,8.4,70,70.0,LOW,CLEAR,GOOD,7.2,0.0
T000568,NH-37,2026-06-19 00:54:00,Assam,Dibrugarh,9.1,70,61.6,LOW,LIGHT_RAIN,GOOD,8.9,1.1
T000569,NH-37,2026-06-19 00:56:00,Assam,Cachar,8.8,60,13.2,HIGH,TORRENTIAL_RAIN,GOOD,40.0,31.2
T000570,NH-27,2026-06-19 00:58:00,Assam,Nagaon,6.6,75,66.0,LOW,LIGHT_RAIN,GOOD,6.0,0.7
T000571,NH-206,2026-06-19 01:00:00,Meghalaya,East Khasi Hills,5.2,40,40.0,MODERATE,CLEAR,FAIR,7.8,0.0
T000572,NH-127B,2026-06-19 01:02:00,Meghalaya,West Khasi Hills,12.3,45,23.4,MODERATE,HEAVY_RAIN,FAIR,31.5,15.1
T000573,NH-06,2026-06-19 01:04:00,Meghalaya,Ri-Bhoi,11.5,65,33.8,MODERATE,HEAVY_RAIN,GOOD,20.4,9.8
T000574,NH-06,2026-06-19 01:06:00,Meghalaya,West Jaintia Hills,10.8,45,23.4,MODERATE,HEAVY_RAIN,FAIR,27.7,13.3
T000575,NH-10,2026-06-19 01:08:00,Sikkim,East Sikkim,10.3,35,23.5,MODERATE,CLEAR,POOR,26.3,8.6
T000576,NH-310,2026-06-19 01:10:00,Sikkim,North Sikkim,8.6,30,5.7,STANDSTILL,HEAVY_RAIN,POOR,90.5,73.3
T000577,NH-510,2026-06-19 01:12:00,Sikkim,South Sikkim,14.2,40,26.8,MODERATE,CLEAR,POOR,31.8,10.5
T000578,NH-29,2026-06-19 01:14:00,Nagaland,Kohima,17.4,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,261.0,234.9
T000579,NH-29,2026-06-19 01:16:00,Nagaland,Dimapur,12.6,65,57.2,LOW,LIGHT_RAIN,GOOD,13.2,1.6
T000580,NH-02,2026-06-19 01:18:00,Nagaland,Mokokchung,11.1,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,87.6,70.9
T000581,NH-02,2026-06-19 01:20:00,Manipur,Imphal West,8.2,60,60.0,LOW,CLEAR,GOOD,8.2,0.0
T000582,NH-02,2026-06-19 01:22:00,Manipur,Bishnupur,7.1,55,55.0,LOW,CLEAR,GOOD,7.7,0.0
T000583,NH-02,2026-06-19 01:24:00,Manipur,Senapati,12.7,45,8.5,HIGH,HEAVY_RAIN,POOR,89.6,72.7
T000584,NH-54,2026-06-19 01:26:00,Mizoram,Aizawl,18.1,40,16.8,HIGH,MODERATE_RAIN,POOR,64.6,37.4
T000585,NH-54,2026-06-19 01:28:00,Mizoram,Kolasib,7.6,45,23.4,MODERATE,HEAVY_RAIN,FAIR,19.5,9.4
T000586,NH-54,2026-06-19 01:30:00,Mizoram,Lunglei,8.2,40,40.0,MODERATE,CLEAR,FAIR,12.3,0.0
T000587,NH-08,2026-06-19 01:32:00,Tripura,West Tripura,11.8,65,14.3,HIGH,TORRENTIAL_RAIN,GOOD,49.5,38.6
T000588,NH-08,2026-06-19 01:34:00,Tripura,Sipahijala,18.8,65,48.8,LOW,MODERATE_RAIN,GOOD,23.1,5.7
T000589,NH-08,2026-06-19 01:36:00,Tripura,Dhalai,12.8,55,55.0,LOW,CLEAR,GOOD,14.0,0.0
T000590,NH-13,2026-06-19 01:38:00,Arunachal Pradesh,Tawang,11.9,35,14.7,HIGH,MODERATE_RAIN,POOR,48.6,28.2
T000591,NH-13,2026-06-19 01:40:00,Arunachal Pradesh,West Kameng,8.6,40,16.8,HIGH,MODERATE_RAIN,POOR,30.7,17.8
T000592,NH-415,2026-06-19 01:42:00,Arunachal Pradesh,Papum Pare,9.1,50,37.5,MODERATE,MODERATE_RAIN,FAIR,14.6,3.7
T000593,NH-515,2026-06-19 01:44:00,Arunachal Pradesh,East Siang,12.4,60,13.2,HIGH,TORRENTIAL_RAIN,GOOD,56.4,44.0
T000594,NH-13,2026-06-19 01:46:00,Arunachal Pradesh,Lower Subansiri,16.4,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,246.0,221.4
T000595,NH-27,2026-06-19 01:48:00,Assam,Kamrup Metropolitan,5.3,80,41.6,MODERATE,HEAVY_RAIN,GOOD,7.6,3.6
T000596,NH-27,2026-06-19 01:50:00,Assam,Kamrup Rural,6.1,80,17.6,HIGH,TORRENTIAL_RAIN,GOOD,20.8,16.2
T000597,NH-15,2026-06-19 01:52:00,Assam,Darrang,6.5,65,14.3,HIGH,TORRENTIAL_RAIN,GOOD,27.3,21.3
T000598,NH-15,2026-06-19 01:54:00,Assam,Sonitpur,13.5,70,70.0,LOW,CLEAR,GOOD,11.6,0.0
T000599,NH-37,2026-06-19 01:56:00,Assam,Dibrugarh,19.2,70,36.4,MODERATE,HEAVY_RAIN,GOOD,31.6,15.1
T000600,NH-37,2026-06-19 01:58:00,Assam,Cachar,21.2,60,13.2,HIGH,TORRENTIAL_RAIN,GOOD,96.4,75.2
T000601,NH-27,2026-06-19 02:00:00,Assam,Nagaon,13.2,75,66.0,LOW,LIGHT_RAIN,GOOD,12.0,1.4
T000602,NH-206,2026-06-19 02:02:00,Meghalaya,East Khasi Hills,8.2,40,22.0,MODERATE,LIGHT_RAIN,POOR,22.4,10.1
T000603,NH-127B,2026-06-19 02:04:00,Meghalaya,West Khasi Hills,8.6,45,39.6,MODERATE,LIGHT_RAIN,FAIR,13.0,1.5
T000604,NH-06,2026-06-19 02:06:00,Meghalaya,Ri-Bhoi,7.3,65,57.2,LOW,LIGHT_RAIN,FAIR,7.7,1.0
T000605,NH-06,2026-06-19 02:08:00,Meghalaya,West Jaintia Hills,10.9,45,33.8,MODERATE,MODERATE_RAIN,FAIR,19.3,4.8
T000606,NH-10,2026-06-19 02:10:00,Sikkim,East Sikkim,18.2,35,19.2,HIGH,LIGHT_RAIN,POOR,56.9,25.7
T000607,NH-310,2026-06-19 02:12:00,Sikkim,North Sikkim,17.7,30,12.6,HIGH,MODERATE_RAIN,POOR,84.3,48.9
T000608,NH-510,2026-06-19 02:14:00,Sikkim,South Sikkim,18.4,40,16.8,HIGH,MODERATE_RAIN,POOR,65.7,38.1
T000609,NH-29,2026-06-19 02:16:00,Nagaland,Kohima,10.0,40,22.0,MODERATE,LIGHT_RAIN,POOR,27.3,12.3
T000610,NH-29,2026-06-19 02:18:00,Nagaland,Dimapur,8.1,65,65.0,LOW,CLEAR,GOOD,7.5,0.0
T000611,NH-02,2026-06-19 02:20:00,Nagaland,Mokokchung,13.9,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,109.7,88.8
T000612,NH-02,2026-06-19 02:22:00,Manipur,Imphal West,9.1,60,13.2,HIGH,TORRENTIAL_RAIN,GOOD,41.4,32.3
T000613,NH-02,2026-06-19 02:24:00,Manipur,Bishnupur,8.4,55,28.6,MODERATE,HEAVY_RAIN,GOOD,17.6,8.4
T000614,NH-02,2026-06-19 02:26:00,Manipur,Senapati,14.3,45,39.6,MODERATE,LIGHT_RAIN,FAIR,21.7,2.6
T000615,NH-54,2026-06-19 02:28:00,Mizoram,Aizawl,21.3,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,168.2,136.2
T000616,NH-54,2026-06-19 02:30:00,Mizoram,Kolasib,14.3,45,39.6,MODERATE,LIGHT_RAIN,FAIR,21.7,2.6
T000617,NH-54,2026-06-19 02:32:00,Mizoram,Lunglei,13.1,40,40.0,MODERATE,CLEAR,FAIR,19.7,0.0
T000618,NH-08,2026-06-19 02:34:00,Tripura,West Tripura,21.7,65,14.3,HIGH,TORRENTIAL_RAIN,GOOD,91.0,71.0
T000619,NH-08,2026-06-19 02:36:00,Tripura,Sipahijala,11.9,65,48.8,LOW,MODERATE_RAIN,GOOD,14.6,3.6
T000620,NH-08,2026-06-19 02:38:00,Tripura,Dhalai,20.7,55,48.4,LOW,LIGHT_RAIN,GOOD,25.7,3.1
T000621,NH-13,2026-06-19 02:40:00,Arunachal Pradesh,Tawang,6.1,35,19.2,HIGH,LIGHT_RAIN,POOR,19.1,8.6
T000622,NH-13,2026-06-19 02:42:00,Arunachal Pradesh,West Kameng,12.2,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,183.0,164.7
T000623,NH-415,2026-06-19 02:44:00,Arunachal Pradesh,Papum Pare,5.7,50,26.0,MODERATE,HEAVY_RAIN,FAIR,13.2,6.4
T000624,NH-515,2026-06-19 02:46:00,Arunachal Pradesh,East Siang,5.8,60,52.8,LOW,LIGHT_RAIN,GOOD,6.6,0.8
T000625,NH-13,2026-06-19 02:48:00,Arunachal Pradesh,Lower Subansiri,18.9,40,26.8,MODERATE,CLEAR,POOR,42.3,13.9
T000626,NH-27,2026-06-19 02:50:00,Assam,Kamrup Metropolitan,17.5,80,41.6,MODERATE,HEAVY_RAIN,GOOD,25.2,12.1
T000627,NH-27,2026-06-19 02:52:00,Assam,Kamrup Rural,9.6,80,70.4,LOW,LIGHT_RAIN,GOOD,8.2,1.0
T000628,NH-15,2026-06-19 02:54:00,Assam,Darrang,18.6,65,48.8,LOW,MODERATE_RAIN,GOOD,22.9,5.7
T000629,NH-15,2026-06-19 02:56:00,Assam,Sonitpur,9.8,70,15.4,HIGH,TORRENTIAL_RAIN,GOOD,38.2,29.8
T000630,NH-37,2026-06-19 02:58:00,Assam,Dibrugarh,15.1,70,15.4,HIGH,TORRENTIAL_RAIN,GOOD,58.8,45.9
T000631,NH-37,2026-06-19 03:00:00,Assam,Cachar,7.0,60,13.2,HIGH,TORRENTIAL_RAIN,GOOD,31.8,24.8
T000632,NH-27,2026-06-19 03:02:00,Assam,Nagaon,16.8,75,66.0,LOW,LIGHT_RAIN,GOOD,15.3,1.9
T000633,NH-206,2026-06-19 03:04:00,Meghalaya,East Khasi Hills,16.1,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,241.5,217.3
T000634,NH-127B,2026-06-19 03:06:00,Meghalaya,West Khasi Hills,19.5,45,33.8,MODERATE,MODERATE_RAIN,FAIR,34.6,8.6
T000635,NH-06,2026-06-19 03:08:00,Meghalaya,Ri-Bhoi,7.9,65,33.8,MODERATE,HEAVY_RAIN,FAIR,14.0,6.7
T000636,NH-06,2026-06-19 03:10:00,Meghalaya,West Jaintia Hills,8.1,45,33.8,MODERATE,MODERATE_RAIN,FAIR,14.4,3.6
T000637,NH-10,2026-06-19 03:12:00,Sikkim,East Sikkim,17.2,35,14.7,HIGH,MODERATE_RAIN,POOR,70.2,40.7
T000638,NH-310,2026-06-19 03:14:00,Sikkim,North Sikkim,6.3,30,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,94.5,81.9
T000639,NH-510,2026-06-19 03:16:00,Sikkim,South Sikkim,21.5,40,16.8,HIGH,MODERATE_RAIN,POOR,76.8,44.5
T000640,NH-29,2026-06-19 03:18:00,Nagaland,Kohima,11.8,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,93.2,75.5
T000641,NH-29,2026-06-19 03:20:00,Nagaland,Dimapur,12.3,65,65.0,LOW,CLEAR,GOOD,11.4,0.0
T000642,NH-02,2026-06-19 03:22:00,Nagaland,Mokokchung,14.4,40,22.0,MODERATE,LIGHT_RAIN,POOR,39.3,17.7
T000643,NH-02,2026-06-19 03:24:00,Manipur,Imphal West,13.8,60,13.2,HIGH,TORRENTIAL_RAIN,GOOD,62.7,48.9
T000644,NH-02,2026-06-19 03:26:00,Manipur,Bishnupur,9.0,55,28.6,MODERATE,HEAVY_RAIN,GOOD,18.9,9.1
T000645,NH-02,2026-06-19 03:28:00,Manipur,Senapati,14.7,45,9.9,HIGH,TORRENTIAL_RAIN,FAIR,89.1,69.5
T000646,NH-54,2026-06-19 03:30:00,Mizoram,Aizawl,5.0,40,4.0,STANDSTILL,TORRENTIAL_RAIN,POOR,75.0,67.5
T000647,NH-54,2026-06-19 03:32:00,Mizoram,Kolasib,10.9,45,33.8,MODERATE,MODERATE_RAIN,FAIR,19.3,4.8
T000648,NH-54,2026-06-19 03:34:00,Mizoram,Lunglei,11.1,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,87.6,70.9
T000649,NH-08,2026-06-19 03:36:00,Tripura,West Tripura,17.7,65,57.2,LOW,LIGHT_RAIN,GOOD,18.6,2.3
T000650,NH-08,2026-06-19 03:38:00,Tripura,Sipahijala,18.9,65,48.8,LOW,MODERATE_RAIN,GOOD,23.2,5.8
T000651,NH-08,2026-06-19 03:40:00,Tripura,Dhalai,7.6,55,48.4,LOW,LIGHT_RAIN,GOOD,9.4,1.1
T000652,NH-13,2026-06-19 03:42:00,Arunachal Pradesh,Tawang,12.2,35,14.7,HIGH,MODERATE_RAIN,POOR,49.8,28.9
T000653,NH-13,2026-06-19 03:44:00,Arunachal Pradesh,West Kameng,14.8,40,22.0,MODERATE,LIGHT_RAIN,POOR,40.4,18.2
T000654,NH-415,2026-06-19 03:46:00,Arunachal Pradesh,Papum Pare,11.5,50,50.0,LOW,CLEAR,FAIR,13.8,0.0
T000655,NH-515,2026-06-19 03:48:00,Arunachal Pradesh,East Siang,16.7,60,45.0,LOW,MODERATE_RAIN,GOOD,22.3,5.6
T000656,NH-13,2026-06-19 03:50:00,Arunachal Pradesh,Lower Subansiri,15.9,40,7.6,STANDSTILL,HEAVY_RAIN,POOR,125.5,101.7
T000657,NH-27,2026-06-19 03:52:00,Assam,Kamrup Metropolitan,7.3,80,80.0,LOW,CLEAR,GOOD,5.5,0.0
T000658,NH-27,2026-06-19 03:54:00,Assam,Kamrup Rural,12.3,80,17.6,HIGH,TORRENTIAL_RAIN,GOOD,41.9,32.7
T000659,NH-15,2026-06-19 03:56:00,Assam,Darrang,5.7,65,33.8,MODERATE,HEAVY_RAIN,GOOD,10.1,4.8
T000660,NH-15,2026-06-19 03:58:00,Assam,Sonitpur,20.5,70,61.6,LOW,LIGHT_RAIN,GOOD,20.0,2.4
T000661,NH-37,2026-06-19 04:00:00,Assam,Dibrugarh,12.0,70,70.0,LOW,CLEAR,GOOD,10.3,0.0
T000662,NH-37,2026-06-19 04:02:00,Assam,Cachar,19.9,60,31.2,MODERATE,HEAVY_RAIN,GOOD,38.3,18.4
T000663,NH-27,2026-06-19 04:04:00,Assam,Nagaon,8.9,75,66.0,LOW,LIGHT_RAIN,GOOD,8.1,1.0
T000664,NH-206,2026-06-19 04:06:00,Meghalaya,East Khasi Hills,13.1,40,35.2,MODERATE,LIGHT_RAIN,FAIR,22.3,2.6
T000665,NH-127B,2026-06-19 04:08:00,Meghalaya,West Khasi Hills,8.6,45,33.8,MODERATE,MODERATE_RAIN,FAIR,15.3,3.8
T000666,NH-06,2026-06-19 04:10:00,Meghalaya,Ri-Bhoi,8.1,65,14.3,HIGH,TORRENTIAL_RAIN,FAIR,34.0,26.5
T000667,NH-06,2026-06-19 04:12:00,Meghalaya,West Jaintia Hills,5.9,45,45.0,LOW,CLEAR,FAIR,7.9,0.0
